,venue_city,venue_state,venue_zip,number_games,lat,lng
352,Spartanburg,SC,29303,18,34.9495672,-81.9320482
353,Riverside,CA,92521,14,33.9806005,-117.3754942
354,DeLand,FL,32720,16,29.028318,-81.3031179
355,Tempe,AZ,85287,17,33.4255104,-111.9400054
356,Indianapolis,IN,46204,2,39.768403,-86.158068
357,Lake Buena Vista,FL,34747,12,28.3695351,-81.5261474
358,Buffalo,NY,14221,15,42.88644679999999,-78.8783689
359,Uniondale,NY,11553,5,40.7003793,-73.5929056
360,Newark,NJ,07102,17,40.735657,-74.1723667
361,Cullowhee,NC,28723,13,35.3137111,-83.1765333
362,Buffalo,NY,14208,14,42.88644679999999,-78.8783689
363,New Britain,CT,6053,12,41.6612104,-72.7795419
364,Greenville,SC,29613,16,34.85261759999999,-82.3940104
365,Los Angeles,CA,90045,14,34.0522342,-118.2436849
366,Jackson,MS,,1,32.2987573,-90.1848103
367,Albany,NY,12207,25,42.6525793,-73.7562317
368,Chapel Hill,NC,27514,15,35.9131996,-79.0558445
369,Memphis,TN,38103,19,35.1495343,-90.0489801
370,Dallas,TX,75219,6,32.7766642,-96.79698789999999
371,Rock Hill,SC,29730,14,34.9248667,-81.02507840000001
372,Charleston,SC,29409,17,32.7764749,-79.93105120000001
373,Richmond,KY,40475,13,37.7478572,-84.2946539
374,Blacksburg,VA,24061,18,37.2295733,-80.4139393
375,Salt Lake City,UT,84101,2,40.7607793,-111.8910474
376,Newark,DE,19716,15,39.6837226,-75.74965720000002
377,Radford,VA,24141,12,37.13179239999999,-80.5764477
378,Bangor,ME,04401,12,44.8016128,-68.7712257
379,North Little Rock,AR,72114,1,34.769536,-92.2670941
380,Louisville,KY,40202,22,38.2526647,-85.7584557
381,Hanover,NH,03755,12,43.7022451,-72.2895526
382,Milwaukee,WI,53203,39,43.0389025,-87.9064736
383,New Orleans,LA,70113,2,29.95106579999999,-90.0715323
384,Norfolk,VA,23529,13,36.8507689,-76.28587259999999
385,Rosemont,IL,60018,17,41.98675069999999,-87.8721602
386,Nashville,TN,37201,4,36.1626638,-86.7816016
387,Murray,KY,42071,16,36.6103334,-88.31476099999999
388,Lake Charles,LA,70607,12,30.2265949,-93.2173758
389,Davidson,NC,28036,12,35.4993031,-80.8486846
390,Grambling,LA,71245,11,32.5276503,-92.7140402
391,Honolulu,HI,96822,32,21.3069444,-157.8583333
392,Huntsville,TX,77340,16,30.7235263,-95.55077709999999
393,Uncasville,CT,6382,10,41.43169049999999,-72.1100945
394,Waco,TX,76706,19,31.549333,-97.1466695
395,Corpus Christi,TX,78412,3,27.8005828,-97.39638099999999
396,Princess Anne,MD,21853,11,38.2028993,-75.692427
397,Kansas City,MO,64106,14,39.0997265,-94.5785667
398,Orlando,FL,32816,16,28.5383355,-81.3792365
399,Las Vegas,NV,89103,33,36.1699412,-115.1398296
400,Normal,IL,61761,15,40.5142026,-88.9906312
401,Spokane,WA,99258,16,47.6587802,-117.4260465
402,Elon,NC,27244,13,36.09827620000001,-79.5115433
403,Ruston,LA,71272,16,32.5232053,-92.63792699999999
404,Orlando,FL,32801,11,28.5383355,-81.3792365
405,Dover,DE,19901,13,39.158168,-75.5243682
406,DeKalb,IL,60115,15,41.9294736,-88.75036469999999
407,Norman,OK,73072,15,35.2225668,-97.4394777
408,St. Louis,MO,63103,40,38.6270025,-90.19940419999999
409,Itta Bena,MS,38941,9,33.49512,-90.3198067
410,Abilene,TX,,15,32.4487364,-99.73314390000002
411,Houston,TX,77004,25,29.7604267,-95.3698028
412,Oxford,MS,38655,18,34.3664951,-89.5192484
413,Moraga,CA,94575,20,37.8349263,-122.1296871
414,Hamden,CT,6511,12,41.3838782,-72.9026064
415,West Hartford,CT,6117,16,41.7620842,-72.7420151
416,Tallahassee,FL,32301,15,30.4382559,-84.28073289999999
417,Macomb,IL,61455,16,40.4592076,-90.67179709999999
418,Thibodaux,LA,70310,15,29.7957633,-90.82287099999999
419,San Jose,CA,95112,14,37.3382082,-121.8863286
